UWI,CountryID,DataSourceOrganisationID,DefaultVerticalMeasurementID,FacilityName,OperatingEnvironmentID,QuadrantID,StateProvinceID,FacilityEvent,Lat,Lon,ResourceID,ResourceSecurityClassification,ResourceTypeID,SpudDate,WellName
2436,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-240,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1974-04-04T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1974-04-18T00:00:00'",52.2218,6.832216,srn:master-data/Well:2436:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1974-04-04T00:00:00+0000,TWR-240
2990,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-241,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1974-05-17T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1974-05-30T00:00:00'",52.221633,6.832635,srn:master-data/Well:2990:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1974-05-17T00:00:00+0000,TWR-241
2991,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-242,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1974-09-18T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1974-10-03T00:00:00'",52.220548,6.833902,srn:master-data/Well:2991:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1974-09-18T00:00:00+0000,TWR-242
2992,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-243,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1974-08-19T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1974-09-02T00:00:00'",52.220267,6.834098,srn:master-data/Well:2992:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1974-08-19T00:00:00+0000,TWR-243
2995,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-246,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1973-04-09T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1973-04-25T00:00:00'",52.218086,6.835286,srn:master-data/Well:2995:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1973-04-09T00:00:00+0000,TWR-246
2437,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-247,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1973-02-27T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1973-03-20T00:00:00'",52.217733,6.83545,srn:master-data/Well:2437:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1973-02-27T00:00:00+0000,TWR-247
2996,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-248,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1977-01-10T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1977-01-26T00:00:00'",52.222838,6.82963,srn:master-data/Well:2996:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1977-01-10T00:00:00+0000,TWR-248
2997,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-249,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1976-12-07T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1976-12-23T00:00:00'",52.223219,6.829379,srn:master-data/Well:2997:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1976-12-07T00:00:00+0000,TWR-249
3001,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-253,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1974-10-28T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1974-11-14T00:00:00'",52.232893,6.813661,srn:master-data/Well:3001:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1974-10-28T00:00:00+0000,TWR-253
3002,srn:master-data/GeopoliticalEntity:Netherlands:,srn:master-data/Organisation:TNO:,Maaiveld,TWR-254,srn:reference-data/WellOperatingEnvironment:ON:,srn:master-data/GeopoliticalEntity:O:,srn:master-data/GeopoliticalEntity:Overijssel:,"FacilityEventTypeID='srn:reference-data/FacilityEventType:SPUD:', EffectiveDateTime='1974-11-28T00:00:00',FacilityEventTypeID='srn:reference-data/FacilityEventType:DRILLING FINISH:', EffectiveDateTime='1975-01-07T00:00:00'",52.232921,6.814306,srn:master-data/Well:3002:,srn:reference-data/ResourceSecurityClassification:RESTRICTED:,srn:type:master-data/Well:,1974-11-28T00:00:00+0000,TWR-254
